Feature,Importance
ndvi,0.035282948202408425
temp_lag_30,0.02291503049238266
temp_lag_14,0.01851278419000143
temp_lag_7,0.009904835371129106
prec,0.007141559510122797
prec_lag_1,0.006704124868738948
snow,0.006632501309567618
rhu,0.003141277111655005
prec_lag_30,0.0030683868733216825
prec_lag_3,0.0027614558520325573
petpm,0.0025417978923705565
temp,0.002430363938317659
temp_lag_3,0.0017575692254892528
prec_lag_14,0.0016810907728468272
wind,0.001178768586329515
temp_lag_1,0.001144410660718731
prec_lag_7,0.0009688293533337
pres,0.0006218850463181492
